crewlistID,vesselID,vessel,rig,masterID,master,voyageID,voyage,list_date,port,custom_house,destination,source,images,inbound_date,transcriber,scan
AC000311,AS0745,"A. M. Nicholson",Schr,AM5030,"Tilton, James A.",AV00031,"A. M. Nicholson : 1920",1920-Jun-08,,"New Bedford",,NB,,NULL,NULL,NULL
AC000321,AS0745,"A. M. Nicholson",Schr,AM2247,"Gomes, August P.",AV00032,"A. M. Nicholson : 1920-1921",1920-Nov-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC000331,AS0745,"A. M. Nicholson",Schr,AM2247,"Gomes, August P.",AV00033,"A. M. Nicholson : 1922",1922-Apr-08,,"New Bedford",,NB,,NULL,NULL,NULL
AC000411,AS0020,"A. R. Tucker",Bark,AM0238,"Bailey, Thomas (S.?)",AV00041,"A. R. Tucker : 1851-1853",1851-Jun-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC000421,AS0020,"A. R. Tucker",Bark,AM4520,"Smith, Joseph Clark",AV00042,"A. R. Tucker : 1853-1857",1853-Nov-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC000431,AS0020,"A. R. Tucker",Bark,AM2593,"Higgins, Oren Bernard",AV00043,"A. R. Tucker : 1857-1861",1857-Oct-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC000451,AS0020,"A. R. Tucker",Bark,AM2327,"Grinnell, Asa",AV00045,"A. R. Tucker : 1861-1864",1861-May-28,,"New Bedford",,NB,,NULL,NULL,NULL
AC000461,AS0020,"A. R. Tucker",Bark,AM0037,"Akin, Issachar H.",AV00046,"A. R. Tucker : 1864-1865",1864-Jun-06,,"New Bedford",,NB,,NULL,NULL,NULL
AC000471,AS0020,"A. R. Tucker",Bark,AM2327,"Grinnell, Asa",AV00047,"A. R. Tucker : 1865-1868",1865-Dec-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC000481,AS0020,"A. R. Tucker",Bark,AM0371,"Barstow, Charles Blackmer",AV00048,"A. R. Tucker : 1868-1870",1868-Nov-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC000491,AS0020,"A. R. Tucker",Bark,AM4084,"Ricketson, Daniel Lake",AV00049,"A. R. Tucker : 1871-1874",1871-May-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC000501,AS0020,"A. R. Tucker",Bark,AM0247,"Baker, Amos Crowell, Jr.",AV00050,"A. R. Tucker : 1874-1876",1874-Nov-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC000511,AS0020,"A. R. Tucker",Bark,AM0247,"Baker, Amos Crowell, Jr.",AV00051,"A. R. Tucker : 1876-1879",1876-Dec-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC000531,AS0020,"A. R. Tucker",Bark,AM2203,"Gifford, Henry Martin",AV00053,"A. R. Tucker : 1880-1883",1880-Apr-12,,"New Bedford",,NB,,NULL,NULL,NULL
AC000541,AS0020,"A. R. Tucker",Bark,AM5116,"Turner, Charles Henry",AV00054,"A. R. Tucker : 1883-1886",1883-Jun-26,,"New Bedford",,NB,,NULL,NULL,NULL
AC000551,AS0020,"A. R. Tucker",Bark,AM0950,"Childs, Charles",AV00055,"A. R. Tucker : 1887-1890",1887-May-21,,"New Bedford",,NB,,NULL,NULL,NULL
AC000561,AS0020,"A. R. Tucker",Bark,AM1859,"Fisher, Elnathan B.",AV00056,"A. R. Tucker : 1891-1892",1891-Apr-28,,"New Bedford",,NB,,NULL,NULL,NULL
AC000571,AS0020,"A. R. Tucker",Bark,AM5241,"West, Andrew D.",AV00057,"A. R. Tucker : 1893-1894",1893-May-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC000581,AS0020,"A. R. Tucker",Bark,AM5241,"West, Andrew D.",AV00058,"A. R. Tucker : 1895-1896",1895-May-04,,"New Bedford",,NB,,NULL,NULL,NULL
AC000591,AS0020,"A. R. Tucker",Bark,AM3571,"Nichols, J. W.",AV00059,"A. R. Tucker : 1897-1898",1897-Apr-21,,"New Bedford",,NB,,NULL,NULL,NULL
AC000601,AS0020,"A. R. Tucker",Bark,AM3435,"Millard, Martin Van Buren",AV00060,"A. R. Tucker : 1899-1901",1899-Jun-06,,"New Bedford",,NB,,NULL,NULL,NULL
AC000631,AS0020,"A. R. Tucker",Bark,AM1361,"Costa, Manuel Estaus",AV00063,"A. R. Tucker : 1901-1903",1901-Oct-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC000641,AS0020,"A. R. Tucker",Bark,AM3935,"Potter, Sylvanus B.",AV00064,"A. R. Tucker : 1903-1906",1903-Oct-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC000711,AS0045,"Abbie Bradford",Schr,AM2213,"Gifford, Robert Post",AV00071,"Abbie Bradford : 1872-1873",1872-May-28,,"New Bedford",,NB,,NULL,NULL,NULL
AC000721,AS0045,"Abbie Bradford",Schr,AM1859,"Fisher, Elnathan B.",AV00072,"Abbie Bradford : 1874-1875",1874-May-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC000731,AS0045,"Abbie Bradford",Schr,AM1859,"Fisher, Elnathan B.",AV00073,"Abbie Bradford : 1876-1877",1876-May-04,,"New Bedford",,NB,,NULL,NULL,NULL
AC000741,AS0045,"Abbott Lawrence",Brig,AM1859,"Fisher, Elnathan B.",AV00074,"Abbie Bradford : 1878-1879",1878-May-07,,"New Bedford",,NB,,NULL,NULL,NULL
AC000751,AS0045,"Abbie Bradford",Schr,AM3520,"Murphy, William H.",AV00075,"Abbie Bradford : 1880-1881",1880-May-05,,"New Bedford",,NB,,NULL,NULL,NULL
AC000761,AS0045,"Abbie Bradford",Schr,AM1652,"Dyer, J. Emmons",AV00076,"Abbie Bradford : 1882-1883",1882-Jun-13,,"New Bedford",,NB,,NULL,NULL,NULL
AC000771,AS0045,"Abbie Bradford",Schr,AM0512,"Borden, Gilbert Bennett",AV00077,"Abbie Bradford : 1884-1885",1884-May-22,,"New Bedford",,NB,,NULL,NULL,NULL
AC000781,AS0045,"Abbie Bradford",Schr,AM0512,"Borden, Gilbert Bennett",AV00078,"Abbie Bradford : 1886-1888",1886-Jun-26,,"New Bedford",,NB,,NULL,NULL,NULL
AC000851,AS0048,"Abbott Lawrence",Brig,AM3333,"Marston, David",AV00085,"Abbott Lawrence : 1867-1869",1867-Jun-10,,"New Bedford",,NB,,NULL,NULL,NULL
AC000861,AS0048,"Abbott Lawrence",Brig,AM1060,"Cleveland, Hiram Judson",AV00086,"Abbott Lawrence : 1869-1872",1869-Jun-28,,"New Bedford",,NB,,NULL,NULL,NULL
AC000871,AS0048,"Abbott Lawrence",Brig,AM4190,"Russell, Elisha E.",AV00087,"Abbott Lawrence : 1875-1877",1875-Apr-19,,"New Bedford",,NB,,NULL,NULL,NULL
AC000881,AS0048,"Abbott Lawrence",Brig,AM3504,"Mosher, Joseph A.",AV00088,"Abbott Lawrence : 1878-1879",1878-May-04,,"New Bedford",,NB,,NULL,NULL,NULL
AC000891,AS0048,"Abbott Lawrence",Brig,AM3504,"Mosher, Joseph A.",AV00089,"Abbott Lawrence : 1880-1881",1880-Apr-05,,"New Bedford",,NB,,NULL,NULL,NULL
AC000981,AS0001,Abigail,Ship,AM1392,"Covell, Dennis",AV00098,"Abigail : 1821-1823",1821-Jul-19,,"New Bedford",,NB,,NULL,NULL,NULL
AC000991,AS0001,Abigail,Ship,AM3946,"Potter, Stephen ",AV00099,"Abigail : 1825-1828",1825-Dec-27,,"New Bedford",,NB,,NULL,NULL,NULL
AC001011,AS0001,Abigail,Ship,AM0991,"Clark, Benjamin",AV00101,"Abigail : 1829-1831",1829-May-23,,"New Bedford",,NB,,NULL,NULL,NULL
AC001021,AS0001,Abigail,Ship,AM0991,"Clark, Benjamin",AV00102,"Abigail : 1831-1835",1831-Nov-13,,"New Bedford",,NB,,NULL,NULL,NULL
AC001071,AS0001,Abigail,Ship,AM5702,"Barnard, David C.",AV00107,"Abigail : 1843-1847",1843-Nov-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC001081,AS0001,Abigail,Ship,AM5539,"Young, George E.",AV00108,"Abigail : 1847-1852",1847-Oct-26,,"New Bedford",,NB,,NULL,NULL,NULL
AC001091,AS0001,Abigail,Ship,AM1624,"Drew, Francis D.",AV00109,"Abigail : 1852-1856",1852-Aug-23,,"New Bedford",,NB,,NULL,NULL,NULL
AC001111,AS0001,Abigail,Ship,AM4547,"Smith, Rufus N.",AV00111,"Abigail : 1856-1860",1856-Aug-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC001121,AS0001,Abigail,Ship,AM3642,"Nye, Ebenezer F.",AV00112,"Abigail : 1862-1865",1862-Jul-29,,"New Bedford",,NB,,NULL,NULL,NULL
AC001351,AS0019,"Abraham Barker",Ship,AM0582,"Brayton, John E.",AV00135,"Abraham Barker : 1845-1848",1845-Sep-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC001361,AS0019,"Abraham Barker",Ship,AM0290,"Barker, Alexander R.",AV00136,"Abraham Barker : 1848-1850",1848-Jun-30,,"New Bedford",,NB,,NULL,NULL,NULL
AC001371,AS0019,"Abraham Barker",Ship,AM3616,"Norton, Ichabod",AV00137,"Abraham Barker : 1850-1853",1850-Sep-09,,"New Bedford",,NB,,NULL,NULL,NULL
AC001381,AS0019,"Abraham Barker",Ship,AM0289,"Barker, Abraham R., Jr.",AV00138,"Abraham Barker : 1853-1857",1853-Jul-19,,"New Bedford",,NB,,NULL,NULL,NULL
AC001391,AS0019,"Abraham Barker",Ship,AM4396,"Slocum, George W.",AV00139,"Abraham Barker : 1857-1861",1857-Aug-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC001401,AS0019,"Abraham Barker",Bark,AM3936,"Potter, Alden Tillinghast White",AV00140,"Abraham Barker : 1866-1870",1866-Jun-18,,"New Bedford",,NB,,NULL,NULL,NULL
AC001411,AS0019,"Abraham Barker",Bark,AM3936,"Potter, Alden Tillinghast White",AV00141,"Abraham Barker : 1871-1875",1871-May-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC001421,AS0019,"Abraham Barker",Bark,AM4992,"Thacher, Otis Freeman",AV00142,"Abraham Barker : 1875-1878",1875-Oct-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC001641,AS0015,"Abraham H. Howland",Ship,AM5169,"Walker, Washington T.",AV00164,"Abraham H. Howland : 1845-1848",1845-Sep-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC001651,AS0015,"Abraham H. Howland",Ship,AM1874,"Fisher, John Potter",AV00165,"Abraham H. Howland : 1848-1851",1848-Aug-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC001661,AS0015,"Abraham H. Howland",Ship,AM3781,"Pease, Peter",AV00166,"Abraham H. Howland : 1851-1852",1851-Aug-16,,"New Bedford",,NB,,NULL,NULL,NULL
AC001681,AS0815,Acasta,Ship,AM0073,"Allen, George II",AV00168,"Acasta : 1831-1832",1831-Jun-19,,"New London","Brazil Banks","NARA, NE Region","31180, 31181",NULL,NULL,NULL
AC001821,AS0814,Acasta,Ship,AM5725,"Barnard, Edward C.?",AV00182,"Acasta : 1828-1829",1828-Jun-14,,"New London","Brazil Banks","NARA, NE Region","21197, 21198",NULL,NULL,NULL
AC001831,AS0814,Acasta,Ship,AM5451,"Wood, Alfred A.",AV00183,"Acasta : 1829-1830",1829-Jul-03,,"New London","Brazil Banks","NARA, NE Region","21286, 21287",NULL,NULL,NULL
AC001851,AS0814,Acasta,Ship,AM3751,"Peabody, Frederick",AV00185,"Acasta : 1833-1834",1833-May-07,,"New London","South Atlantic Ocean","NARA, NE Region","31400, 31401",NULL,NULL,NULL
AC001861,AS0814,Acasta,Ship,AM3751,"Peabody, Frederick",AV00186,"Acasta : 1834-1835",1834-May-21,,"New London","South Atlantic and Elsewhere","NARA, NE Region","31583, 31584",NULL,NULL,NULL
AC001871,AS0814,Acasta,Ship,AM3814,"Pendleton, William",AV00187,"Acasta : 1835-1837",1835-Jul-02,,"New London","Falkland Islands","NARA, NE Region","31650, 31651",NULL,NULL,NULL
AC001891,AS0814,Acasta,Ship,AM4901,"Swan, Thomas E.",AV00189,"Acasta : 1837-1838",1837-Apr-26,,"New London","Coast Patagonia","NARA, NE Region","31775, 31776",NULL,NULL,NULL
AC001901,AS0814,Acasta,Ship,AM4901,"Swan, Thomas E.",AV00190,"Acasta : 1839-1840",1839-May-10,Stonington,"New London","South Atlantic Ocean","NARA, NE Region","32206, 32207, 32208",NULL,NULL,NULL
AC001961,AS0049,"Acors Barns",Bark,AM2848,"Jeffrey, Charles",AV00196,"Acors Barns : 1866-1871",1866-Jun-05,,"New London","Whaling Voyage","NARA, NE Region","40104, 40105",NULL,NULL,NULL
AC001971,AS0049,"Acors Barns",Bark,AM0056,"Allen, Charles Edward",AV00197,"Acors Barns : 1872-1874",1872-Jan-17,,"New London","Whaling Voyage","NARA, NE Region","40352, 40353, 40354, 40355, 40356, 40357",NULL,NULL,NULL
AC002021,AS0025,Active,Bark,AM3486,"Morrison, Thomas",AV00202,"Active : 1852-1856",1852-May-31,,"New Bedford",,NB,,NULL,NULL,NULL
AC002031,AS0025,Active,Bark,AM5465,"Wood, William",AV00203,"Active : 1856-1860",1856-Jun-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC002041,AS0025,Active,Bark,AM0477,"Blake, Davis Active",AV00204,"Active : 1860-1865",1860-Nov-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002051,AS0025,Active,Bark,AM4119,"Robinson, Orlando G.",AV00205,"Active : 1865-1871",1865-Nov-06,,"New Bedford",,NB,,NULL,NULL,NULL
AC002071,AS0025,Active,Bark,AM0804,"Campbell, Thomas G.",AV00207,"Active : 1871-1874",1871-Nov-10,,"New Bedford",,NB,,NULL,NULL,NULL
AC002081,AS0818,Actor,Schooner,AM4626,"Spicer, John Orrin",AV00208,"Actor : 1863",1863-Jun-16,,"New London","Hudson's Bay","NARA, NE Region","33754, 33755",NULL,NULL,NULL
AC002091,AS0819,Acushnet,Ship,AM4866,"Pease, Valentine",AV00209,"Acushnet : 1841-1845",1841-Jan-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC002101,AS0819,Acushnet,NA,AM4142,"Rogers, William B.",AV00210,"Acushnet : 1845-1848",1845-Jul-18,,"New Bedford",,NB,,NULL,NULL,NULL
AC002111,AS0819,Acushnet,Ship,AM0569,"Bradley, Thomas C.",AV00211,"Acushnet : 1848-1851",1848-Aug-30,,"New Bedford",,NB,,NULL,NULL,NULL
AC002201,AS0742,"Ada S. Babson",Schr,AM1789,"Ellis, William B.",AV00220,"Ada S. Babson : 1894-1897",1894-Jan-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC002221,AS0003,Addison,Ship,AM0408,"Baylies, Gustavus Adolphus",AV00222,"Addison : 1833-1834",1833-Apr-09,,"New Bedford",,NB,,NULL,NULL,NULL
AC002231,AS0003,Addison,Ship,AM3727,"Parker, Avery Fortunee",AV00223,"Addison : 1834-1837",1834-Jun-09,,"New Bedford",,NB,,NULL,NULL,NULL
AC002251,AS0003,Addison,Ship,AM5260,"West, Thomas",AV00225,"Addison : 1841-1845",1841-Jun-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC002261,AS0003,Addison,Ship,AM5260,"West, Thomas ?",AV00226,"Addison : 1845-1848",1845-Oct-13,,"New Bedford",,NB,,NULL,NULL,NULL
AC002271,AS0003,Addison,Ship,AM3048,"Lawrence, Thomas H.",AV00227,"Addison : 1848-1852",1848-Aug-16,,"New Bedford",,NB,,NULL,NULL,NULL
AC002281,AS0003,Addison,Ship,AM0851,"Cash, George H.",AV00228,"Addison : 1852-1856",1852-Sep-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002291,AS0003,Addison,Ship,AM3046,"Lawrence, Samuel",AV00229,"Addison : 1856-1860",1856-Nov-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC002301,AS0003,Addison,Bark,AM3860,"Pierce, John C.",AV00230,"Addison : 1860-1867",1850-Aug-27,,"New Bedford",,NB,,NULL,NULL,NULL
AC002311,AS0003,Addison,Bark,AM4378,"Sinclair, James G.",AV00231,"Addison : 1870-1874",1870-May-19,,"New Bedford",,NB,,NULL,NULL,NULL
AC002331,AS0003,Addison,Bark,AM1345,"Cornell, Peleg",AV00233,"Addison : 1867-1868",1867-Jul-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC002341,AS0003,Addison,Bark,AM1345,"Cornell, Peleg",AV00234,"Addison : 1869-1870",1869-Apr-19,,"New Bedford",,NB,,NULL,NULL,NULL
AC002351,AS0706,"Adelia Chase",Schr,AM0966,"Church, Erastus, Jr.",AV00235,"Adelia Chase : 1880-1882",1880-Feb-16,,"New Bedford",,NB,,NULL,NULL,NULL
AC002361,AS0706,"Adelia Chase",Schr,AM2587,"Higgins, Benjamin A.",AV00236,"Adelia Chase : 1882-1884",1882-Oct-30,,"New Bedford",,NB,,NULL,NULL,NULL
AC002371,AS0706,"Adelia Chase",Schr,AM1815,"Ferreira, Michael A.",AV00237,"Adelia Chase : 1884-1886",1884-Jun-24,,"New Bedford",,NB,,NULL,NULL,NULL
AC002381,AS0706,"Adelia Chase",Schr,AM1815,"Ferreira, Michael A.",AV00238,"Adelia Chase : 1886-1889",1886-Oct-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC002391,AS0706,"Adelia Chase",Schr,AM1815,"Ferreira, Michael A.",AV00239,"Adelia Chase : 1890-1893",1890-Jun-10,,"New Bedford",,NB,,NULL,NULL,NULL
AC002401,AS0706,"Adelia Chase",Schr,AM2588,"Higgins, Charles ?",AV00240,"Adelia Chase : 1893-1896",1893-Nov-06,,"New Bedford",,NB,,NULL,NULL,NULL
AC002411,AS0706,"Adelia Chase",Schr,AM0647,"Brown, Charles",AV00241,"Adelia Chase : 1896-1897",1896-Nov-06,,"New Bedford",,NB,,NULL,NULL,NULL
AC002431,AS0706,"Adelia Chase",Schr,AM0647,"Brown, Charles",AV00243,"Adelia Chase : 1897",1897-Oct-22,,"New Bedford",,NB,,NULL,NULL,NULL
AC002451,AS0706,"Adelia Chase",Schr,AM0518,"Borges (Burgo), Lebanio D.",AV00245,"Adelia Chase : 1898",1898-Jul-16,,"New Bedford",,NB,,NULL,NULL,NULL
AC002461,AS0706,"Adelia Chase",Schr,AM4149,"Rose, Antone",AV00246,"Adelia Chase : 1898-1899",1898-Nov-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC002481,AS0706,"Adelia Chase",Schr,AM4303,"Senna, Ayres J.",AV00248,"Adelia Chase : 1901-1902",1901-Oct-29,,"New Bedford",,NB,,NULL,NULL,NULL
AC002491,AS0706,"Adelia Chase",Schr,AM4303,"Senna, Ayres J.",AV00249,"Adelia Chase : 1902-1904",1902-Nov-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC002501,AS0706,"Adelia Chase",Schr,AM4303,"Senna, Ayres J.",AV00250,"Adelia Chase : 1904-1905",1904-Oct-12,,"New Bedford",,NB,,NULL,NULL,NULL
AC002511,AS0706,"Adelia Chase",Schr,AM4305,"Senna, Joseph H.",AV00251,"Adelia Chase : 1906",1906-May-29,,"New Bedford",,NB,,NULL,NULL,NULL
AC002531,AS0002,Adeline,Ship,AM2285,"Gray, George W.",AV00253,"Adeline : 1840-1842",1840-Oct-12,,"New Bedford",,NB,,NULL,NULL,NULL
AC002541,AS0002,Adeline,Ship,AM1232,"Cole, Charles H.",AV00254,"Adeline : 1843-1846",1843-May-25,,"New Bedford",,NB,,NULL,NULL,NULL
AC002551,AS0002,Adeline,Ship,AM2895,"Jernegan, Nathaniel Mayhew",AV00255,"Adeline : 1846-1850",1846-Jul-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002561,AS0002,Adeline,Ship,AM0822,"Carr, John P.",AV00256,"Adeline : 1850-1853",1850-Sep-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002571,AS0002,Adeline,Ship,AM0635,"Brotherson, Joseph",AV00257,"Adeline : 1853-1856",1853-Aug-27,,"New Bedford",,NB,,NULL,NULL,NULL
AC002581,AS0002,Adeline,Ship,AM4932,"Taber, Asa",AV00258,"Adeline : 1856-1860",1856-Oct-22,,"New Bedford",,NB,,NULL,NULL,NULL
AC002591,AS0002,Adeline,Ship,AM0284,"Barber, Albert D.",AV00259,"Adeline : 1860-1865",1860-Sep-18,,"New Bedford",,NB,,NULL,NULL,NULL
AC002601,AS0002,Adeline,Ship,AM4609,"Sowle, John M.",AV00260,"Adeline : 1865-1869",1865-Aug-29,,"New Bedford",,NB,,NULL,NULL,NULL
AC002611,AS0002,Adeline,Ship,AM3346,"Marvin, Alonzo J.",AV00261,"Adeline : 1869-1874",1869-Sep-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002631,AS0033,"Adeline Gibbs",Ship,AM0408,"Baylies, Gustavus Adolphus",AV00263,"Adeline Gibbs : 1841-1845",1841-Sep-04,,"New Bedford",,NB,,NULL,NULL,NULL
AC002641,AS0033,"Adeline Gibbs",Ship,AM5250,"West, Isaiah",AV00264,"Adeline Gibbs : 1845-1848",1845-Oct-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC002651,AS0033,"Adeline Gibbs",Ship,AM5209,"Weeks, Edward",AV00265,"Adeline Gibbs : 1848-1853",1848-Nov-14,,"New Bedford",,NB,,NULL,NULL,NULL
AC002661,AS0033,"Adeline Gibbs",Ship,AM3911,"Pomeroy, George P.",AV00266,"Adeline Gibbs : 1853-1857",1853-Sep-12,,"New Bedford",,NB,,NULL,NULL,NULL
AC002671,AS0033,"Adeline Gibbs",Ship,AM5440,"Withington, Sumner L.",AV00267,"Adeline Gibbs : 1857-1861",1857-Sep-30,,"New Bedford",,NB,,NULL,NULL,NULL
AC002681,AS0033,"Adeline Gibbs",Bark,AM1522,"Davis, Henry W.",AV00268,"Adeline Gibbs : 1861-1866",1861-Oct-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC002691,AS0033,"Adeline Gibbs",Bark,AM0216,"Babcock, Elisha, Jr.",AV00269,"Adeline Gibbs : 1866-1870",1866-Jul-09,,"New Bedford",,NB,,NULL,NULL,NULL
AC002701,AS0033,"Adeline Gibbs",Bark,AM1046,"Cleaveland, Jacob L.",AV00270,"Adeline Gibbs : 1870",1870-Aug-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC002711,AS0033,"Adeline Gibbs",Bark,AM1997,"Forman, Frederick J.",AV00271,"Adeline Gibbs : 1870-1875",1870-Oct-18,,"New Bedford",,NB,,NULL,NULL,NULL
AC002721,AS0033,"Adeline Gibbs",Bark,AM4567,"Snell, Moses Leander",AV00272,"Adeline Gibbs : 1875-1878",1875-Aug-07,,"New Bedford",,NB,,NULL,NULL,NULL
AC002731,AS0033,"Adeline Gibbs",Bark,AM0459,"Besse, John T.",AV00273,"Adeline Gibbs : 1878-1880",1878-Jul-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC002741,AS0033,"Adeline Gibbs",Bark,AM4045,"Reed, Edwin J.",AV00274,"Adeline Gibbs : 1880-1885",1880-Dec-15,,"New Bedford",,NB,,NULL,NULL,NULL
AC002761,AS0822,"Admiral Blake",Schr,AM2397,"Hammond, Arthur H.",AV00276,"Admiral Blake : 1867-1868",1867-May-07,,"New Bedford",,NB,,NULL,NULL,NULL
AC002771,AS0822,"Admiral Blake",Schr,AM2397,"Hammond, Arthur H.",AV00277,"Admiral Blake : 1868-1871",1868-Dec-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC002781,AS0822,"Admiral Blake",Schr,AM2511,"Hathaway, William C.",AV00278,"Admiral Blake : 1872-1873",1872-May-20,,"New Bedford",,NB,,NULL,NULL,NULL
AC002791,AS0822,"Admiral Blake",Schr,AM2511,"Hathaway, William C.",AV00279,"Admiral Blake : 1874",1874-May-22,,"New Bedford",,NB,,NULL,NULL,NULL
AC002801,AS0822,"Admiral Blake",Schr,AM2511,"Hathaway, William C.",AV00280,"Admiral Blake : 1874-1875",1874-Oct-26,,"New Bedford",,NB,,NULL,NULL,NULL
